year,region,country,co2,ghg,population,gdp
2000,Americas,Argentina,141.717,366.34,36871000.0,557000000000.0
2001,Americas,Argentina,133.311,383.27,37276000.0,525000000000.0
2002,Americas,Argentina,124.382,386.17,37682000.0,453000000000.0
2003,Americas,Argentina,134.621,408.49,38088000.0,487000000000.0
2004,Americas,Argentina,157.034,436.71,38492000.0,532000000000.0
2005,Americas,Argentina,161.425,428.51,38893000.0,584000000000.0
2006,Americas,Argentina,174.618,462.74,39290000.0,631000000000.0
2007,Americas,Argentina,174.233,465.58,39684000.0,694000000000.0
2008,Americas,Argentina,188.041,482.38,40080000.0,741000000000.0
2009,Americas,Argentina,178.86700000000002,469.51,40483000.0,692000000000.0
2010,Americas,Argentina,186.672,451.7,40896000.0,772000000000.0
2011,Americas,Argentina,190.237,460.12,41320000.0,836000000000.0
2012,Americas,Argentina,191.715,478.03,41755000.0,838000000000.0
2013,Americas,Argentina,192.275,466.52,42196000.0,847000000000.0
2014,Americas,Argentina,194.43099999999998,467.82,42638000.0,818000000000.0
2015,Americas,Argentina,199.859,470.55,43075000.0,840000000000.0
2016,Americas,Argentina,200.03900000000002,482.08,43508000.0,820000000000.0
2000,East Asia & Pacific,Australia,350.195,608.16,18991000.0,680000000000.0
2001,East Asia & Pacific,Australia,357.66900000000004,700.99,19195000.0,694000000000.0
2002,East Asia & Pacific,Australia,362.209,688.48,19401000.0,724000000000.0
2003,East Asia & Pacific,Australia,369.726,620.39,19624000.0,742000000000.0
2004,East Asia & Pacific,Australia,383.205,664.4,19880000.0,773000000000.0
2005,East Asia & Pacific,Australia,386.515,622.46,20179000.0,826000000000.0
2006,East Asia & Pacific,Australia,392.68199999999996,637.39,20526000.0,842000000000.0
2007,East Asia & Pacific,Australia,400.415,628.77,20916000.0,877000000000.0
2008,East Asia & Pacific,Australia,405.04900000000004,597.42,21332000.0,932000000000.0
2009,East Asia & Pacific,Australia,408.345,617.92,21751000.0,927000000000.0
2010,East Asia & Pacific,Australia,406.426,579.14,22155000.0,994000000000.0
2011,East Asia & Pacific,Australia,404.264,617.79,22538000.0,1030000000000.0
2012,East Asia & Pacific,Australia,406.98699999999997,617.86,22904000.0,1020000000000.0
2013,East Asia & Pacific,Australia,398.05199999999996,529.26,23255000.0,1010000000000.0
2014,East Asia & Pacific,Australia,393.289,537.95,23596000.0,1020000000000.0
2015,East Asia & Pacific,Australia,402.538,536.33,23932000.0,1050000000000.0
2016,East Asia & Pacific,Australia,413.157,519.09,24263000.0,1070000000000.0
2000,Europe & Central Asia,Austria,66.313,66.22,8069000.0,288000000000.0
